#This is a simple dump of all loaded liquids, in raw form, with their block names (in brackets) and their localized names, in the format of:

#FLUIDID 										  (FLUIDBLOCK)																	   = FLUIDLOCALIZEDNAME

#ANY AND ALL CHANGES TO THIS FILE WILL BE REPLACED WHEN THIS FILE IS REGENERATED NEXT TIME THE GAME IS RUN. THIS IS FOR INFORMATIONAL PURPOSES ONLY AND IS NOT A CONFIG FILE!

water                                             (minecraft:water)                                                                = Water
binnie.liqueur.hazelnut                           (extratrees:binnie.liqueur.hazelnut)                                             = Hazelnut Liqueur
binnie.liqueur.cinnamon                           (extratrees:binnie.liqueur.cinnamon)                                             = Cinnamon Liqueur
binnie.liqueur.coffee                             (extratrees:binnie.liqueur.coffee)                                               = Coffee Liqueur
binnie.liqueur.melon                              (extratrees:binnie.liqueur.melon)                                                = Melon Liqueur
binnie.liqueur.anise                              (extratrees:binnie.liqueur.anise)                                                = Anise Liqueur
binnie.liqueur.peach                              (extratrees:binnie.liqueur.peach)                                                = Peach Liqueur
binnie.liqueur.lemon                              (extratrees:binnie.liqueur.lemon)                                                = Lemon Liqueur
binnie.liqueur.herbal                             (extratrees:binnie.liqueur.herbal)                                               = Herbal Liqueur
binnie.liqueur.cherry                             (extratrees:binnie.liqueur.cherry)                                               = Cherry Liqueur
binnie.liqueur.blackcurrant                       (extratrees:binnie.liqueur.blackcurrant)                                         = Blackcurrant Liqueur
binnie.liqueur.blackberry                         (extratrees:binnie.liqueur.blackberry)                                           = Blackberry Liqueur
binnie.liqueur.raspberry                          (extratrees:binnie.liqueur.raspberry)                                            = Raspberry Liqueur
oil_soul                                          ([no block])                                                                     = Soul Crude
oil_dwarf                                         ([no block])                                                                     = Dwarven Oil
gas_dwarf                                         ([no block])                                                                     = Dwarven Fuel Gas
dawnstone                                         (embers:dawnstone)                                                               = Molten Dawnstone
alchemical_redstone                               (embers:alchemical_redstone)                                                     = Alchemical Slurry
electrical_steel                                  (enderio:block_fluid_electrical_steel)                                           = Molten Electrical Steel
energetic_alloy                                   (enderio:block_fluid_energetic_alloy)                                            = Molten Energetic Alloy
vibrant_alloy                                     (enderio:block_fluid_vibrant_alloy)                                              = Molten Vibrant Alloy
redstone_alloy                                    (enderio:block_fluid_redstone_alloy)                                             = Molten Redstone Alloy
conductive_iron                                   (enderio:block_fluid_conductive_iron)                                            = Molten Conductive Iron
pulsating_iron                                    (enderio:block_fluid_pulsating_iron)                                             = Molten Pulsating Iron
dark_steel                                        (enderio:block_fluid_dark_steel)                                                 = Molten Dark Steel
soularium                                         (enderio:block_fluid_soularium)                                                  = Molten Soularium
end_steel                                         (enderio:block_fluid_end_steel)                                                  = Molten End Steel
construction_alloy                                (enderio:block_fluid_construction_alloy)                                         = Molten Iron Alloy
uranium                                           (immersiveengineering:molten_uranium)                                            = Molten Uranium
oil                                               (immersivepetroleum:fluid_crude_oil)                                             = Crude Oil
diesel                                            (immersivepetroleum:fluid_diesel)                                                = Diesel
lubricant                                         (immersivepetroleum:fluid_lubricant)                                             = Lubricant
gasoline                                          (immersivepetroleum:fluid_gasoline)                                              = Gasoline
napalm                                            (immersivepetroleum:fluid_napalm)                                                = Napalm
menrilresin                                       (integrateddynamics:block_menril_resin)                                          = Menril Resin
liquidchorus                                      (integrateddynamics:block_liquid_chorus)                                         = Liquid Chorus
distwater                                         (immersivetech:fluiddistwater)                                                   = Distilled Water
creeper_acid                                      (techguns:block_creeper_acid)                                                    = Creeper Acid
nutrient_distillation                             (enderio:block_fluid_nutrient_distillation)                                      = Nutrient Distillation
ender_distillation                                (enderio:block_fluid_ender_distillation)                                         = Dew of the Void
vapor_of_levity                                   (enderio:block_fluid_vapor_of_levity)                                            = Vapor of Levity
hootch                                            (enderio:block_fluid_hootch)                                                     = Hootch
rocket_fuel                                       (enderio:block_fluid_rocket_fuel)                                                = Rocket Fuel
fire_water                                        (enderio:block_fluid_fire_water)                                                 = Fire Water
xpjuice                                           ([no block])                                                                     = Liquid XP
liquid_sunshine                                   (enderio:block_fluid_liquid_sunshine)                                            = Liquid Sunshine
cloud_seed                                        (enderio:block_fluid_cloud_seed)                                                 = Cloud Seed
cloud_seed_concentrated                           (enderio:block_fluid_cloud_seed_concentrated)                                    = Concentrated Cloud Seed
stone                                             (tconstruct:molten_stone)                                                        = Seared Stone
obsidian                                          (tconstruct:molten_obsidian)                                                     = Molten Obsidian
clay                                              (tconstruct:molten_clay)                                                         = Molten Clay
dirt                                              (tconstruct:molten_dirt)                                                         = Liquid Dirt
emerald                                           (tconstruct:molten_emerald)                                                      = Molten Emerald
blueslime                                         (tconstruct:blueslime)                                                           = Liquid Blue Slime
purpleslime                                       (tconstruct:purpleslime)                                                         = Liquid Purple Slime
thatch                                            (rustichromia:thatch)                                                            = fluid.thatch
betterquesting.placeholder                        ([no block])                                                                     = Placeholder
